epoch,train_data_loss,train_phys_loss,train_total_loss,val_data_loss,val_phys_loss,val_total_loss
1,0.9891138672828674,0.0,0.9891138672828674,0.22245515882968903,0.0,0.22245515882968903
2,0.8696463704109192,0.0,0.8696463704109192,0.20787876844406128,0.0,0.20787876844406128
3,0.756848156452179,0.0,0.756848156452179,0.19471824169158936,0.0,0.19471824169158936
4,0.6500191688537598,0.0,0.6500191688537598,0.18269531428813934,0.0,0.18269531428813934
5,0.548723578453064,0.0,0.548723578453064,0.1719481647014618,0.0,0.1719481647014618
6,0.45339033007621765,0.0,0.45339033007621765,0.16293390095233917,0.0,0.16293390095233917
7,0.3651142120361328,0.0,0.3651142120361328,0.15632405877113342,0.0,0.15632405877113342
8,0.2854459583759308,0.0,0.2854459583759308,0.15291810035705566,0.0,0.15291810035705566
9,0.21622204780578613,0.0,0.21622204780578613,0.1535177230834961,0.0,0.1535177230834961
10,0.1593564748764038,0.0,0.1593564748764038,0.15875709056854248,0.0,0.15875709056854248
11,0.11655482649803162,0.0,0.11655482649803162,0.16889238357543945,0.0,0.16889238357543945
12,0.08892079442739487,0.0,0.08892079442739487,0.1835513859987259,0.0,0.1835513859987259
13,0.07645957916975021,0.0,0.07645957916975021,0.20148895680904388,0.0,0.20148895680904388
14,0.07755762338638306,0.0,0.07755762338638306,0.22050708532333374,0.0,0.22050708532333374
15,0.08867552131414413,0.0,0.08867552131414413,0.23777304589748383,0.0,0.23777304589748383
16,0.1046847328543663,0.0,0.1046847328543663,0.25058773159980774,0.0,0.25058773159980774
17,0.12013845890760422,0.0,0.12013845890760422,0.25720834732055664,0.0,0.25720834732055664
18,0.13091807067394257,0.0,0.13091807067394257,0.257198691368103,0.0,0.257198691368103
19,0.13513194024562836,0.0,0.13513194024562836,0.2512301206588745,0.0,0.2512301206588745
20,0.1329362541437149,0.0,0.1329362541437149,0.2406376749277115,0.0,0.2406376749277115
21,0.12580086290836334,0.0,0.12580086290836334,0.22699660062789917,0.0,0.22699660062789917
22,0.11574292182922363,0.0,0.11574292182922363,0.2118237018585205,0.0,0.2118237018585205
23,0.10474880039691925,0.0,0.10474880039691925,0.19640681147575378,0.0,0.19640681147575378
24,0.09441975504159927,0.0,0.09441975504159927,0.18173541128635406,0.0,0.18173541128635406
25,0.08581376075744629,0.0,0.08581376075744629,0.1684984564781189,0.0,0.1684984564781189
26,0.07943633198738098,0.0,0.07943633198738098,0.15711838006973267,0.0,0.15711838006973267
27,0.07532861828804016,0.0,0.07532861828804016,0.14779967069625854,0.0,0.14779967069625854
28,0.07320306450128555,0.0,0.07320306450128555,0.14057773351669312,0.0,0.14057773351669312
29,0.07258769124746323,0.0,0.07258769124746323,0.13536286354064941,0.0,0.13536286354064941
30,0.0729515552520752,0.0,0.0729515552520752,0.1319759488105774,0.0,0.1319759488105774
31,0.07379679381847382,0.0,0.07379679381847382,0.1301763653755188,0.0,0.1301763653755188
32,0.07471418380737305,0.0,0.07471418380737305,0.12968343496322632,0.0,0.12968343496322632
33,0.07540707290172577,0.0,0.07540707290172577,0.13019470870494843,0.0,0.13019470870494843
34,0.07569260895252228,0.0,0.07569260895252228,0.13140326738357544,0.0,0.13140326738357544
35,0.07548914104700089,0.0,0.07548914104700089,0.1330152153968811,0.0,0.1330152153968811
36,0.07479718327522278,0.0,0.07479718327522278,0.13476739823818207,0.0,0.13476739823818207
37,0.07367872446775436,0.0,0.07367872446775436,0.13644187152385712,0.0,0.13644187152385712
38,0.07223692536354065,0.0,0.07223692536354065,0.1378750205039978,0.0,0.1378750205039978
39,0.0705970823764801,0.0,0.0705970823764801,0.1389583796262741,0.0,0.1389583796262741
40,0.06888864189386368,0.0,0.06888864189386368,0.13963226974010468,0.0,0.13963226974010468
41,0.06722889095544815,0.0,0.06722889095544815,0.13987493515014648,0.0,0.13987493515014648
42,0.06570974737405777,0.0,0.06570974737405777,0.13969074189662933,0.0,0.13969074189662933
43,0.06438927352428436,0.0,0.06438927352428436,0.13910073041915894,0.0,0.13910073041915894
44,0.06328903883695602,0.0,0.06328903883695602,0.138136088848114,0.0,0.138136088848114
45,0.062397878617048264,0.0,0.062397878617048264,0.13683468103408813,0.0,0.13683468103408813
46,0.061680421233177185,0.0,0.061680421233177185,0.13523811101913452,0.0,0.13523811101913452
47,0.061088379472494125,0.0,0.061088379472494125,0.13338881731033325,0.0,0.13338881731033325
48,0.06057177111506462,0.0,0.06057177111506462,0.13132627308368683,0.0,0.13132627308368683
49,0.06008753180503845,0.0,0.06008753180503845,0.12908312678337097,0.0,0.12908312678337097
50,0.05960410460829735,0.0,0.05960410460829735,0.12668158113956451,0.0,0.12668158113956451
51,0.059101738035678864,0.0,0.059101738035678864,0.12413249909877777,0.0,0.12413249909877777
