threshold,n_nonzero,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2
1.1971142075650041e-06,45,1.829858418288796e-12,5.5092656234664435e-08,6.945476737801994e-08,1.3527225947284225e-06,0.00023471824861877365,0.0002635427240088786,0.9999999999999909,0.9999999968717045,0.9999995025414485
2.194287251130113e-06,45,1.829858418288796e-12,5.5092656234664435e-08,6.945476737801994e-08,1.3527225947284225e-06,0.00023471824861877365,0.0002635427240088786,0.9999999999999909,0.9999999968717045,0.9999995025414485
4.0220862053470224e-06,45,1.829858418288796e-12,5.5092656234664435e-08,6.945476737801994e-08,1.3527225947284225e-06,0.00023471824861877365,0.0002635427240088786,0.9999999999999909,0.9999999968717045,0.9999995025414485
7.372406431706326e-06,45,1.829858418288796e-12,5.5092656234664435e-08,6.945476737801994e-08,1.3527225947284225e-06,0.00023471824861877365,0.0002635427240088786,0.9999999999999909,0.9999999968717045,0.9999995025414485
1.3513478781734668e-05,41,6.378365361651165e-13,2.5080828203496806e-08,2.3197825232977872e-08,7.986466904489848e-07,0.00015836927796607778,0.000152308322927468,0.9999999999999968,0.9999999985758493,0.9999998338493242
2.4769945943163073e-05,42,3.645389253359796e-11,4.6860983100925244e-07,5.137463660010533e-08,6.037705899892604e-06,0.0006845508242703769,0.00022665973749235954,0.9999999999998185,0.9999999733911902,0.9999996320374646
4.54028331221801e-05,36,3.857080017629423e-11,4.06939422696583e-07,2.934336027915288e-06,6.210539443260483e-06,0.0006379180376008998,0.0017129903758968665,0.9999999999998079,0.9999999768929865,0.9999789832922196
8.322251733010005e-05,35,3.697651459319887e-12,1.4053314888557645e-08,1.620270810736071e-07,1.9229278351825603e-06,0.00011854667810005325,0.0004025258762782923,0.9999999999999816,0.9999999992020184,0.999998839507206
0.00015254526897299147,33,893.00164825533,8185311.7347764615,25312808.854276318,29.883133173335924,2860.9983807713807,5031.1836434656525,-3.4479730463949103,-464780.9756242902,-181298903.32823426
0.000279612535556239,11,1.4997714720437148e-20,5.78328179409426e-20,1.1233149408588348e-19,1.2246515716903788e-10,2.4048454823739215e-10,3.3515890870732274e-10,1.0,1.0,1.0
0.0005125243841815347,33,6136.598788392642,19504148.8263432,25477876.7636049,78.33644610519832,4416.350170258604,5047.561467045736,-29.565930153250665,-1107492.168019891,-182481175.56334296
0.0009394473100360258,30,36609.27696611743,120472590.07233176,405934229.1554554,191.33550890024944,10976.00064105008,20147.809537402703,-181.34801415141112,-6840726.663980993,-2907438339.758351
0.0017219887981394558,30,36609.27696611743,120472590.07233176,405934229.1554554,191.33550890024944,10976.00064105008,20147.809537402703,-181.34801415141112,-6840726.663980993,-2907438339.758351
0.0031563722512591512,1,4.192766242307816e-28,4.663822013044546e-29,2.2957430063741886e-29,2.047624536458727e-14,6.8292181199933465e-15,4.791391245112622e-15,1.0,1.0,1.0
0.005785569452764774,1,4.192766242307816e-28,4.663822013044546e-29,2.2957430063741886e-29,2.047624536458727e-14,6.8292181199933465e-15,4.791391245112622e-15,1.0,1.0,1.0
0.010604837208099202,10,1.3284025320923604e-23,8.150081718097045e-23,2.236072975889147e-22,3.644725685277783e-12,9.027780301988437e-12,1.4953504525324982e-11,1.0,1.0,1.0
0.019438462043963937,18,4.967544967582425e-06,0.0012198624408654977,0.005499635540908599,0.0022287989966756593,0.034926529184353516,0.07415952764755585,0.9999999752570377,0.9999307332336719,0.9606097488622682
0.03563032597483437,17,4.037492646710576e-05,0.000679819164924296,0.012863956506741736,0.006354126727340726,0.02607334203596263,0.11341938329378157,0.9999997988955731,0.9999613982087941,0.907863989594172
0.06530970023254323,16,0.0004712842347288871,0.05835548939237087,0.1520039920426084,0.021709081849053107,0.24156880881515078,0.38987689344536486,0.9999976525692004,0.9966864329023567,-0.08870403792374448
0.11971142075650042,14,0.0006951396611349157,0.12295051640909349,0.3584446861044665,0.02636550134427403,0.35064300422095046,0.5987025021698728,0.9999965375624085,0.9930185696315199,-1.5673021602278259
