mode,train_mse_target,val_mse_target,test_mse_target,train_rmse_target,val_rmse_target,test_rmse_target,train_r2_target,val_r2_target,test_r2_target,selected_by,eq_file,train_mse_forward,val_mse_forward,test_mse_forward,train_mse_hc,val_mse_hc,test_mse_hc,train_rmse_hc,val_rmse_hc,test_rmse_hc,train_r2_hc,val_r2_hc,test_r2_hc
he,2.5898245499527176e-28,6.466468142520017e-29,2.092657566850084e-29,1.6092931833425248e-14,8.041435283903003e-15,4.5745574287028945e-15,1.0,1.0,1.0,val_mse,pysr_equations_he.csv,2.5898245499527176e-28,6.466468142520017e-29,2.092657566850084e-29,,,,,,,,,
hc_log,3.308597778402942,1.1848593332596462,7.4367829146035325,1.8189551336970744,1.0885124405626452,2.727046555268819,0.973302374900518,-57.31654275185389,-2361.9539802542595,val_mse_raw,pysr_equations_hc_log.csv,4.12169803398664,0.7906678760702678,1.4282771506715946,4.12169803398664,0.7906678760702678,1.4282771506715946,2.0301965505799284,0.8891950720006649,1.1951054977162454,-3.6772216439837786,-10.947432943984117,-273.9264208331117
hc_cube,0.036279045256308894,0.06360727589860818,0.09353615863134274,0.19047058895354133,0.2522048292531453,0.30583681699779497,0.9988939133195522,0.9907227246999221,0.2769853100068199,val_mse_raw,pysr_equations_hc_cube.csv,0.05639116381429446,0.000973881953861669,0.004426245704525234,0.05639116381429446,0.000973881953861669,0.004426245704525234,0.23746823748513077,0.031207081790223017,0.06653003610795077,0.9360084194070516,0.9852841000737907,0.14800017020445988
hc_exact_compound,,,,,,,,,,fixed_equation,n/a,0.10977891794916501,7.806436041249596e-32,1.2308950331465788e-31,0.10977891794916501,7.806436041249596e-32,1.2308950331465788e-31,0.33132901766848766,2.7940000073818173e-16,3.508411368620531e-16,0.8754250488873591,1.0,1.0
