complexity,loss,equation,score,sympy_format,lambda_format,train_mse,val_mse,test_mse,train_mse_raw,val_mse_raw,test_mse_raw,train_mse_forward,val_mse_forward,test_mse_forward
1,228.28085,15.156711,0.0,15.1567110000000,PySRFunction(X=>15.1567110000000),228.2808943031797,49.009220069103705,123.79244495486748,,,,228.2808943031797,49.009220069103705,123.79244495486748
3,1.2766005,dP * 0.0045847297,2.593187991826965,dP*0.0045847297,PySRFunction(X=>dP*0.0045847297),1.2766008685859715,1.2472823976443665,3.164327811354717,,,,1.2766008685859715,1.2472823976443665,3.164327811354717
5,0.59329265,(hc / 0.5178556) ^ hc,0.38313408981790165,(hc/0.5178556)**hc,PySRFunction(X=>(hc/0.5178556)**hc),0.5932927468389809,0.22066539696886867,0.6270942249991013,,,,0.5932927468389809,0.22066539696886867,0.6270942249991013
7,2.4603937e-12,((dP / dT) * hc) * 0.016273,13.104316122004155,dP*hc*0.016273/dT,PySRFunction(X=>dP*hc*0.016273/dT),2.5898245499527176e-28,6.466468142520017e-29,2.092657566850084e-29,,,,2.5898245499527176e-28,6.466468142520017e-29,2.092657566850084e-29
9,2.1377776e-12,((hc * -1.5442668) * (dP / dT)) * -0.010537687,0.07027729652414239,hc*(-1.5442668)*dP*(-0.010537687)/dT,PySRFunction(X=>hc*(-1.5442668)*dP*(-0.010537687)/dT),5.785344410540622e-14,2.486466487518704e-14,2.0887898790512494e-15,,,,5.785344410540622e-14,2.486466487518704e-14,2.0887898790512494e-15
