threshold,n_nonzero,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2
0.003244263037380103,9,0.01103167014114851,0.04549455495114318,0.07448425856728007,0.10503175777424897,0.21329452630375487,0.27291804368212824,0.9874814782820074,0.31255188044736215,-13.337336844380287
0.005946671568384377,9,0.01103167014114851,0.04549455495114318,0.07448425856728007,0.10503175777424897,0.21329452630375487,0.27291804368212824,0.9874814782820074,0.31255188044736215,-13.337336844380287
0.010900134278504229,9,0.01103167014114851,0.04549455495114318,0.07448425856728007,0.10503175777424897,0.21329452630375487,0.27291804368212824,0.9874814782820074,0.31255188044736215,-13.337336844380287
0.01997973587798169,9,0.01103167014114851,0.04549455495114318,0.07448425856728007,0.10503175777424897,0.21329452630375487,0.27291804368212824,0.9874814782820074,0.31255188044736215,-13.337336844380287
0.036622470471867195,9,0.01103167014114851,0.04549455495114318,0.07448425856728007,0.10503175777424897,0.21329452630375487,0.27291804368212824,0.9874814782820074,0.31255188044736215,-13.337336844380287
0.06712828195796301,5,0.030285262980951192,0.017503803518929544,0.050933765335577384,0.17402661572573086,0.13230194072246085,0.2256851021569155,0.965632880832069,0.7355077585212294,-8.80414606274384
0.12304484598026728,5,0.030285262980951192,0.017503803518929544,0.050933765335577384,0.17402661572573086,0.13230194072246085,0.2256851021569155,0.965632880832069,0.7355077585212294,-8.80414606274384
0.22553882924917787,5,0.030285262980951192,0.017503803518929544,0.050933765335577384,0.17402661572573086,0.13230194072246085,0.2256851021569155,0.965632880832069,0.7355077585212294,-8.80414606274384
0.4134083235574734,1,2.3020664006314546,2.048846094507198,0.21804106093150818,1.5172562079726202,1.4313790883295723,0.46694867055331485,-1.6123395518392245,-29.959208116978125,-40.97031958984076
0.7577694827784232,2,0.06409988402328205,0.05538195860615212,0.2926318397156022,0.25317954898309236,0.23533371752928248,0.5409545634483567,0.9272607157393916,0.16314769224960557,-55.32816031327649
1.388976845190321,1,2.3020664006314546,2.048846094507198,0.21804106093150818,1.5172562079726202,1.4313790883295723,0.46694867055331485,-1.6123395518392245,-29.959208116978125,-40.97031958984076
2.5459677650267487,1,2.3020664006314546,2.048846094507198,0.21804106093150818,1.5172562079726202,1.4313790883295723,0.46694867055331485,-1.6123395518392245,-29.959208116978125,-40.97031958984076
4.666709803695202,1,2.3020664006314546,2.048846094507198,0.21804106093150818,1.5172562079726202,1.4313790883295723,0.46694867055331485,-1.6123395518392245,-29.959208116978125,-40.97031958984076
8.553989053225928,1,2.3020664006314546,2.048846094507198,0.21804106093150818,1.5172562079726202,1.4313790883295723,0.46694867055331485,-1.6123395518392245,-29.959208116978125,-40.97031958984076
15.679296935234934,1,2.3020664006314546,2.048846094507198,0.21804106093150818,1.5172562079726202,1.4313790883295723,0.46694867055331485,-1.6123395518392245,-29.959208116978125,-40.97031958984076
28.73984884169976,1,2.3020664006314546,2.048846094507198,0.21804106093150818,1.5172562079726202,1.4313790883295723,0.46694867055331485,-1.6123395518392245,-29.959208116978125,-40.97031958984076
52.679588559075576,1,2.3020664006314546,2.048846094507198,0.21804106093150818,1.5172562079726202,1.4313790883295723,0.46694867055331485,-1.6123395518392245,-29.959208116978125,-40.97031958984076
96.5606696833747,1,2.3020664006314546,2.048846094507198,0.21804106093150818,1.5172562079726202,1.4313790883295723,0.46694867055331485,-1.6123395518392245,-29.959208116978125,-40.97031958984076
176.99384495468797,0,2.7706281538814244,3.425899991757586,1.6547681622806663,1.6645203975564327,1.8509186885861804,1.286377923582594,-2.1440541888098497,-50.76726115110553,-317.52325576341457
324.42630373801035,0,2.7706281538814244,3.425899991757586,1.6547681622806663,1.6645203975564327,1.8509186885861804,1.286377923582594,-2.1440541888098497,-50.76726115110553,-317.52325576341457
