time_s,Tw_true,Tw_pred_rollout,abs_error,split
0.0,23.0,23.0,0.0,train
60.0,22.99625345238221,22.510298224444714,0.48595522793749524,train
120.0,22.992472831370065,22.604126718622574,0.38834611274749165,train
180.0,22.988653232447117,22.60346622244496,0.3851870100021557,train
240.0,22.98479514812123,22.596102425382735,0.38869272273849376,train
300.0,22.98089941051874,22.588361080672925,0.3925383298458165,train
360.0,22.97696686899428,22.58064300302499,0.3963238659692898,train
420.0,22.972998369541926,22.572973746065916,0.40002462347601053,train
480.0,22.968994753443376,22.565355082250175,0.40363967119320066,train
540.0,22.96495685715774,22.55778726377068,0.40716959338706005,train
600.0,22.96088551229493,22.550270447195857,0.41061506509907275,train
660.0,22.95678154559709,22.542804785531512,0.4139767600655766,train
720.0,22.952645778923102,22.535390434136172,0.4172553447869305,train
780.0,22.948479029235543,22.52802755101142,0.4204514782241233,train
840.0,22.944282108589924,22.520716296724157,0.42356581186576747,train
900.0,22.940055824126222,22.513456834307046,0.4265989898191762,train
960.0,22.935800978062403,22.506249329160205,0.42955164890219777,train
1020.0,22.93151836768985,22.499093948955533,0.4324244187343176,train
1080.0,22.927208785370716,22.491990863543464,0.4352179218272525,train
1140.0,22.922873018536823,22.484940244862294,0.4379327736745289,train
1200.0,22.918511849690347,22.477942266849738,0.44056958284060954,train
1260.0,22.91412605640584,22.470997105356766,0.4431289510490757,train
1320.0,22.909716411333783,22.46410493806348,0.44561147327030426,train
1380.0,22.90528368220541,22.457265944396973,0.44801773780843845,train
1440.0,22.90082863183879,22.450480305451194,0.4503483263875978,train
1500.0,22.896352018146075,22.4437482039086,0.45260381423747376,train
1560.0,22.89185459414184,22.437069823963505,0.4547847701783354,train
1620.0,22.887337107952455,22.43044535124731,0.4568917567051436,train
1680.0,22.88280030282641,22.423874972755115,0.45892533007129543,train
1740.0,22.87824491714552,22.41735887677411,0.4608860403714097,train
1800.0,22.87367168443698,22.410897252813285,0.46277443162369636,train
1860.0,22.869081333386244,22.404490291534803,0.46459104185144184,train
1920.0,22.864474587850538,22.398138184686605,0.46633640316393254,train
1980.0,22.85985216687312,22.391841125036393,0.4680110418367285,train
2040.0,22.855214784698177,22.385599306307128,0.46961547839104867,train
2100.0,22.85056315078625,22.37941292311349,0.4711502276727586,train
2160.0,22.845897969830272,22.373282170899813,0.4726157989304589,train
2220.0,22.841219941772025,22.367207245879104,0.4740126958929203,train
2280.0,22.83652976181915,22.361188344973367,0.475341416845783,train
2340.0,22.831828120462525,22.355225665754826,0.4766024547076988,train
2400.0,22.82711570349404,22.34931940638844,0.477796297105602,train
2460.0,22.82239319202476,22.343469765575495,0.47892342644926345,train
2520.0,22.81766126250337,22.3376769424981,0.479984320005272,train
2580.0,22.812920586734997,22.331941136764875,0.4809794499701212,train
2640.0,22.80817183190016,22.32626254835746,0.4819092835427021,train
2700.0,22.80341566057414,22.32064137757815,0.48277428299599023,train
2760.0,22.79865273074644,22.315077824998433,0.4835749057480072,train
2820.0,22.793883695840456,22.30957209140838,0.4843116044320759,train
2880.0,22.789109204733386,22.30412437776706,0.4849848269663255,train
2940.0,22.78432990177619,22.298734885153767,0.48559501662242255,train
3000.0,22.77954642681376,22.293403814720133,0.4861426120936265,train
3060.0,22.774759415205125,22.288131367643107,0.48662804756201794,train
3120.0,22.76996949784383,22.282917745078766,0.4870517527650655,train
3180.0,22.7651773011783,22.27776314811695,0.4874141530613514,train
3240.0,22.7603834472323,22.272667777736608,0.48771566949569234,train
3300.0,22.75558855362543,22.267631834762156,0.4879567188632734,train
3360.0,22.75079323359364,22.262655519820328,0.4881377137733125,train
3420.0,22.745998096009732,22.257739033297984,0.488259062711748,train
3480.0,22.741203745403915,22.25288257530059,0.4883211701033261,train
3540.0,22.736410781984244,22.248086345611394,0.4883244363728494,train
3600.0,22.731619801657114,22.243350543651477,0.48826925800563714,train
3660.0,22.72683139604767,22.238675368440255,0.48815602760741683,train
3720.0,22.722046152520168,22.234061018556886,0.48798513396328147,train
3780.0,22.717264654198253,22.229507692102313,0.4877569620959399,train
3840.0,22.7124874799852,22.22501558666193,0.4874718933232707,train
3900.0,22.707715204584023,22.220584899268925,0.48713030531509816,train
3960.0,22.70294839851753,22.216215826368266,0.4867325721492648,train
4020.0,22.69818762814823,22.211908563781467,0.48627906436676227,train
4080.0,22.693433455698163,22.207663306671687,0.4857701490264752,train
4140.0,22.688686439268597,22.203480249509777,0.48520618975882,train
4200.0,22.683947132859583,22.199359586040714,0.48458754681886873,train
4260.0,22.67921608638942,22.195301509250744,0.4839145771386768,train
4320.0,22.674493845713897,22.191306211335085,0.48318763437881174,train
4380.0,22.669780952645468,22.18737388366624,0.4824070689792279,train
4440.0,22.66507794497223,22.183504716762865,0.48157322820936344,train
4500.0,22.66038535647673,22.17969890025923,0.4806864562175015,train
4560.0,22.655703716954665,22.175956622875237,0.4797470940794284,train
4620.0,22.65103355223331,22.172278072386977,0.4787554798463347,train
4680.0,22.64637538418988,22.168663435597868,0.47771194859201316,train
4740.0,22.641729730769622,22.16511289831032,0.4766168324593032,train
4800.0,22.63709710600378,22.161626645297954,0.4754704607058251,train
4860.0,22.63247802002732,22.15820486027834,0.4742731597489822,train
4920.0,22.6278729790965,22.15484772588623,0.47302525321027034,train
4980.0,22.62328248560624,22.15155542364734,0.471727061958898,train
5040.0,22.618707038107235,22.14832813395274,0.4703789041544937,train
5100.0,22.614147131322937,22.145166036033565,0.46898109528937226,train
5160.0,22.609603256166277,22.142069307936328,0.4675339482299492,train
5220.0,22.605075899756173,22.139038126498775,0.4660377732573977,train
5280.0,22.600565545433867,22.136072667326214,0.4644928781076523,train
5340.0,22.596072672778973,22.13317310476823,0.4628995680107444,train
5400.0,22.59159775762536,22.13033961189605,0.46125814572931034,train
5460.0,22.58714127207678,22.127572360480272,0.45956891159650937,train
5520.0,22.58270368452228,22.12487152096912,0.45783216355316014,train
5580.0,22.578285459651344,22.122237262467166,0.45604819718417744,train
5640.0,22.573887058468884,22.11966975271453,0.45421730575435504,train
5700.0,22.569508938309887,22.11716915806654,0.45233978024334576,train
5760.0,22.565151552853905,22.114735643473907,0.4504159093799984,train
5820.0,22.56081535213925,22.11236937246327,0.44844597967598077,train
5880.0,22.556500782576997,22.11007050711827,0.44643027545872727,train
5940.0,22.552208286964635,22.107839208061097,0.44436907890353794,train
6000.0,22.547938304499624,22.10567563443449,0.44226267006513353,train
6060.0,22.54369127079254,22.1035799438841,0.4401113269084398,train
6120.0,22.53946761788006,22.101552292541495,0.43791532533856525,train
6180.0,22.535267774237656,22.099592835007464,0.43567493923019285,train
6240.0,22.531092164792025,22.097701724335792,0.43339044045623254,train
6300.0,22.52694121093326,22.095879112017595,0.43106209891566394,train
6360.0,22.52281533052674,22.09412514796605,0.4286901825606897,train
6420.0,22.51871493792477,22.0924399805015,0.4262749574232707,train
6480.0,22.51464044397792,22.090823756337148,0.4238166876407732,train
6540.0,22.51059225604609,22.0892766205652,0.42131563548088735,train
6600.0,22.506570778009333,22.087798716643324,0.41877206136600975,train
6660.0,22.50257641027832,22.086390186381774,0.41618622389654547,train
6720.0,22.498609549804566,22.08505116993075,0.41355837987381605,train
6780.0,22.494670590090365,22.083781805768524,0.41088878432184117,train
6840.0,22.490759921198396,22.0825822306897,0.40817769050869757,train
6900.0,22.48687792976104,22.08145257979425,0.4054253499667908,train
6960.0,22.4830249989894,22.080392986476785,0.4026320125126155,train
7020.0,22.479201508682,22.07940358241652,0.39979792626547805,train
7080.0,22.47540783523317,22.078484497567533,0.3969233376656369,train
7140.0,22.471644351641103,22.077635860149712,0.39400849149139106,train
7200.0,22.467911427515563,22.076857796640002,0.391053630875561,train
7260.0,22.46420942908532,22.076150431764376,0.3880589973209432,train
7320.0,22.46053871920517,22.075513888490146,0.38502483071502525,train
7380.0,22.45689965736268,22.074948288018888,0.3819513693437919,train
7440.0,22.453292599684477,22.074453749779888,0.3788388499045894,train
7500.0,22.44971789894228,22.07403039142413,0.3756875075181476,train
7560.0,22.4461759045585,22.073678328818858,0.3724975757396436,train
7620.0,22.44266696261147,22.073397676042678,0.369269286568791,train
7680.0,22.43919141584027,22.07318854538128,0.3660028704589884,train
7740.0,22.43574960364919,22.07305104732374,0.3626985563254479,train
7800.0,22.43234186211173,22.072985290559423,0.3593565715523077,train
7860.0,22.428968523974216,22.072991381975587,0.35597714199862907,train
7920.0,22.42562991865896,22.07306942665554,0.35256049200341977,train
7980.0,22.42232637226697,22.073219527877562,0.3491068443894072,train
8040.0,22.419058207580196,22.07344178711446,0.3456164204657348,train
8100.0,22.415825744063312,22.07373630403391,0.342089440029401,train
8160.0,22.41262929786498,22.074103176499424,0.3385261213655575,train
8220.0,22.40946918181861,22.074542500572306,0.334926681246305,train
8280.0,22.40634570544258,22.07505437051414,0.3312913349284372,train
8340.0,22.40325917493991,22.075638878790386,0.3276202961495258,train
8400.0,22.400209893197378,22.07629611607468,0.32391377712269787,train
8460.0,22.397198159783983,22.077026171254147,0.32017198852983597,train
8520.0,22.39422427094885,22.07782913143558,0.31639513951327203,train
8580.0,22.391288519618456,22.078705081952812,0.3125834376656442,train
8640.0,22.388391195393133,22.0796541063749,0.3087370890182335,train
8700.0,22.385532584542943,22.08067628651569,0.30485629802725356,train
8760.0,22.38271297000275,22.081771702444353,0.3009412675583967,train
8820.0,22.379932631366515,22.082940432497356,0.29699219886915884,train
8880.0,22.377191844880784,22.084182553291605,0.2930092915891791,train
8940.0,22.374490883437304,22.085498139739133,0.2889927436981701,train
9000.0,22.37183001656472,22.086887265063126,0.28494275150159254,train
9060.0,22.36920951041932,22.088350000815822,0.2808595096034985,train
9120.0,22.366629627774756,22.08988641689775,0.27674321087700804,train
9180.0,22.36409062801069,22.091496581579165,0.27259404643152507,train
9240.0,22.36159276710029,22.093180561523173,0.26841220557711765,train
9300.0,22.35913629759656,22.094938421811104,0.26419787578545595,train
9360.0,22.356721468617263,22.096770225970165,0.259951242647098,train
9420.0,22.35434852582863,22.098676036003415,0.2556724898252156,train
9480.0,22.352017711427475,22.100655912422575,0.25136179900490063,train
9540.0,22.3497292641218,22.102709914283544,0.2470193498382578,train
9600.0,22.34748341910971,22.104838099225134,0.24264531988457705,train
9660.0,22.34528040805654,22.10704052351115,0.2382398845453899,train
9720.0,22.34312045907001,22.109317242076234,0.2338032169937776,train
9780.0,22.341003796673377,22.111668308575677,0.22933548809769988,train
9840.0,22.338930641776223,22.11409377543974,0.22483686633648148,train
9900.0,22.33690121164295,22.116593693932824,0.22030751771012547,train
9960.0,22.33491571985853,22.11916811421796,0.21574760564056916,train
10020.0,22.332974376291503,22.121817085427377,0.2111572908641257,train
10080.0,22.331077387053792,22.124540655739413,0.20653673131437955,train
10140.0,22.329224954457203,22.127338872462975,0.2018860819942283,train
