target,selected_threshold,n_nonzero,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,test_points,coefficients_file,selection_file,loss_plot_file,equation,hc_forward_train_mse,hc_forward_val_mse,hc_forward_test_mse,hc_forward_train_rmse,hc_forward_val_rmse,hc_forward_test_rmse,hc_forward_train_r2,hc_forward_val_r2,hc_forward_test_r2,hc_forward_all_mse,hc_forward_all_rmse,hc_forward_all_r2,hc_forward_predictions_file,hc_forward_plot_file,he_forward_train_mse,he_forward_val_mse,he_forward_test_mse,he_forward_train_rmse,he_forward_val_rmse,he_forward_test_rmse,he_forward_train_r2,he_forward_val_r2,he_forward_test_r2,he_forward_all_mse,he_forward_all_rmse,he_forward_all_r2,he_forward_predictions_file,he_forward_plot_file
hc,41.17412612677699,31,0.00025213888374746616,0.0016880217889494564,0.004503247405709406,0.015878881690706878,0.041085542334858574,0.06710623969281401,0.9997138777672141,0.9744930485456255,0.13317825549787032,145,sindy_trial3_coefficients_hc.csv,sindy_trial3_selection_hc.csv,sindy_trial3_loss_progress_hc.png,hc = 4.65694339e+01 + (1.46968641e+03)*Tw + (-1.07249341e+03)*Tgi + (-9.41304353e+02)*dT + (-1.05091723e+03)*Tw*dT_over_dP + (2.25329150e+02)*Tgi*dT_over_dP + (2.75778885e+02)*Pgi*dT_over_dP + (-1.28730772e+03)*dT*dT_over_dP + (-7.94870276e+02)*dP*dT_over_dP + (3.09633247e+03)*cbrt(Tw) + (1.14030668e+03)*cbrt(Tgi) + (1.08178094e+03)*cbrt(Pw) + (-1.14559617e+03)*cbrt(Pgi) + (1.05113426e+03)*cbrt(dT) + (-2.82780372e+03)*cbrt(dP_over_dT) + (-1.83008845e+02)*cbrt(dT_over_dP) + (6.45345600e+02)*cbrt(Tw*Tw) + (1.52397928e+03)*cbrt(Tw*Tgi) + (-7.26462196e+02)*cbrt(Tw*dT) + (1.51038966e+02)*cbrt(Tw*dP) + (-1.86243827e+03)*cbrt(Tw*dP_over_dT) + (-4.15789079e+03)*cbrt(Tgi*Tgi) + (4.13906169e+02)*cbrt(Tgi*dT) + (-2.42875067e+02)*cbrt(Tgi*dP) + (2.15372430e+03)*cbrt(Tgi*dP_over_dT) + (8.09739664e+02)*cbrt(Tgi*dT_over_dP) + (3.54459831e+03)*cbrt(Pw*dT_over_dP) + (1.47634145e+02)*cbrt(Pgi*dT) + (-2.85785693e+03)*cbrt(Pgi*dT_over_dP) + (-5.61468914e+03)*cbrt(dT*dT_over_dP) + (2.07237931e+02)*cbrt(dP*dT_over_dP),0.0002521388837474336,0.0016880217889494564,0.004503247405696943,0.015878881690705855,0.041085542334858574,0.06710623969272114,0.9997138777672141,0.9744930485456255,0.1331782555002693,0.0009673784756785873,0.031102708494254762,0.9985475437482264,sindy_trial3_forward_predictions_hc.csv,sindy_trial3_forward_overlay_hc.png,,,,,,,,,,,,,,
he,180.65026765891488,22,0.0018452914563331828,0.04896255550477415,0.026816782642100703,0.04295685575473585,0.22127484155405952,0.16375830556677332,0.9999919165751378,0.9988261725176201,0.8746161416239938,145,sindy_trial3_coefficients_he.csv,sindy_trial3_selection_he.csv,sindy_trial3_loss_progress_he.png,he = 7.52066178e+02 + (6.69133554e+02)*Tw + (-7.40491927e+02)*Tgi + (-1.21324973e+03)*dT + (-4.20278142e+03)*Tw*dT_over_dP + (5.11043343e+03)*Tgi*dT_over_dP + (-6.59435927e+03)*cbrt(Tw) + (1.94122051e+03)*cbrt(Tgi) + (-7.11753117e+02)*cbrt(Pgi) + (3.71863223e+03)*cbrt(dT) + (-2.79076214e+03)*cbrt(dT_over_dP) + (2.48042497e+03)*cbrt(Tw*Tw) + (8.10173250e+02)*cbrt(Tw*Tgi) + (-6.85901659e+02)*cbrt(Tw*dT) + (4.19437133e+02)*cbrt(Tw*dP_over_dT) + (-2.29806448e+03)*cbrt(Tgi*Tgi) + (-7.71245997e+02)*cbrt(Tgi*dT) + (4.28107977e+03)*cbrt(Tgi*dT_over_dP) + (1.95391045e+03)*cbrt(Pw*dT_over_dP) + (1.06623649e+03)*cbrt(Pgi*dT_over_dP) + (-1.90927934e+04)*cbrt(dT*dT_over_dP) + (3.90136469e+03)*cbrt(dP*dT_over_dP),,,,,,,,,,,,,,,0.0018452914563336423,0.04896255550477415,0.026816782642100703,0.0429568557547412,0.22127484155405952,0.16375830556677332,0.9999919165751378,0.9988261725176201,0.8746161416239938,0.0137832346979219,0.11740202169435542,0.9999230636419775,sindy_trial3_forward_predictions_he.csv,sindy_trial3_forward_overlay_he.png
